x,y,z,rx,ry,rz
0.077871,0.242321,0.0480,-0.4,0.0,0.0
0.107871,0.242321,0.0480,-0.4,0.0,0.0
0.137871,0.242321,0.0480,-0.4,0.0,0.0
0.167871,0.242321,0.0480,-0.4,0.0,0.0
0.197871,0.242321,0.0480,-0.4,0.0,0.0
0.227871,0.242321,0.0480,-0.4,0.0,0.0
0.257871,0.242321,0.0480,-0.4,0.0,0.0
0.287871,0.242321,0.0480,-0.4,0.0,0.0
0.317871,0.242321,0.0480,-0.4,0.0,0.0
0.347871,0.242321,0.0480,-0.4,0.0,0.0
0.377871,0.242321,0.0480,-0.4,0.0,0.0
0.407871,0.242321,0.0480,-0.4,0.0,0.0
0.437871,0.242321,0.0480,-0.4,0.0,0.0
0.467871,0.242321,0.0480,-0.4,0.0,0.0
0.497871,0.242321,0.0480,-0.4,0.0,0.0
0.527871,0.242321,0.0480,-0.4,0.0,0.0
